node_type,label,record_id,year,review_type,dominant_domain,dominant_loading,tsne_x,tsne_y,pca_x,pca_y,parent_domain
record,pubmed_41105043,pubmed_41105043,2025.0,narrative or expert review,biological,0.3618,1.2176032,2.6801305,7.2149043,17.479382,biological
record,pubmed_24261452,pubmed_24261452,2014.0,narrative or expert review,psychological,0.3462,-3.412356,0.60827166,9.633127,8.394567,psychological
record,pubmed_17371358,pubmed_17371358,2007.0,narrative or expert review,psychological,0.3619,1.9185644,-7.1845775,5.0446916,-1.5643458,psychological
record,pubmed_29722923,pubmed_29722923,2018.0,systematic review,biological,0.3481,2.5496716,4.6798997,8.906562,7.2742085,biological
record,pubmed_35990762,pubmed_35990762,2022.0,narrative or expert review,psychological,0.347,5.826723,-2.0153675,11.225695,-3.3797243,psychological
record,pubmed_12421777,pubmed_12421777,2002.0,narrative or expert review,psychological,0.3444,5.122796,-7.0733104,7.6936812,-4.623794,psychological
record,pubmed_32870949,pubmed_32870949,2020.0,narrative or expert review,biological,0.3445,-4.658138,2.8271255,10.575014,0.6628578,biological
record,pubmed_26600874,pubmed_26600874,2015.0,narrative or expert review,psychological,0.3461,4.869608,-7.3007436,11.00626,-7.585905,psychological
record,pubmed_22435173,pubmed_22435173,2012.0,meta-analysis,psychological,0.3366,-5.1461024,2.80933,11.065335,-6.2203836,psychological
record,pubmed_23786498,pubmed_23786498,2013.0,narrative or expert review,biological,0.3493,1.5845157,-0.8221626,8.353644,10.178939,biological
record,pubmed_24405725,pubmed_24405725,2014.0,systematic review,psychological,0.3516,6.433493,0.8464544,9.364786,-9.7261,psychological
record,pubmed_40624502,pubmed_40624502,2025.0,systematic review,social,0.3423,4.829929,0.058607917,4.948663,-2.8969219,social
record,pubmed_39468650,pubmed_39468650,2024.0,scoping or mapping review,biological,0.3405,9.027035,0.75401413,8.158217,-4.601603,biological
record,pubmed_17420400,pubmed_17420400,2007.0,meta-analysis,biological,0.3401,1.868227,4.9420576,9.9293995,1.2505531,biological
record,pubmed_39137213,pubmed_39137213,2024.0,meta-analysis,social,0.341,8.756464,-0.76426244,11.185717,-16.795937,social
record,pubmed_36791365,pubmed_36791365,2023.0,narrative or expert review,biological,0.3449,-0.65248513,-6.1761885,5.328628,-0.5339791,biological
record,pubmed_22550985,pubmed_22550985,2012.0,narrative or expert review,biological,0.3441,-3.3925755,0.61444604,7.309818,5.3241014,biological
record,pubmed_19418887,pubmed_19418887,2009.0,narrative or expert review,psychological,0.3427,7.0152435,-5.6451902,4.2274303,-8.694284,psychological
record,pubmed_24966693,pubmed_24966693,2014.0,narrative or expert review,biological,0.3643,3.9602168,2.2832675,7.8353434,3.6901362,biological
record,pubmed_25953594,pubmed_25953594,2015.0,systematic review,biological,0.3689,5.99252,3.6692834,8.831369,-2.4454741,biological
record,pubmed_38754116,pubmed_38754116,2024.0,narrative or expert review,biological,0.3578,-4.227744,3.5431795,1.6078972,2.3393369,biological
record,pubmed_39629040,pubmed_39629040,2024.0,narrative or expert review,biological,0.3709,1.2015979,2.7746904,9.150753,19.36097,biological
record,pubmed_38137395,pubmed_38137395,2023.0,narrative or expert review,biological,0.3539,2.7355673,4.6704135,12.333167,5.422862,biological
record,pubmed_26039013,pubmed_26039013,2015.0,narrative or expert review,psychological,0.3625,7.4971247,-6.205212,2.406021,-8.984851,psychological
record,pubmed_38132273,pubmed_38132273,2023.0,narrative or expert review,biological,0.3477,0.632477,-0.8592063,6.343453,11.361971,biological
record,pubmed_38470686,pubmed_38470686,2024.0,systematic review,psychological,0.3372,-4.4951696,3.6945255,9.866643,-9.873509,psychological
record,pubmed_33396262,pubmed_33396262,2020.0,scoping or mapping review,social,0.3396,1.8983455,-7.4147396,6.1333833,-11.03769,social
record,pubmed_36675454,pubmed_36675454,2023.0,narrative or expert review,biological,0.3474,-1.5034554,-4.6294193,7.1446013,5.8173213,biological
record,WOS:001116314900001,WOS:001116314900001,,network meta-analysis,social,0.3402,7.8555307,-1.9238579,8.386769,-10.071519,social
record,pubmed_31466408,pubmed_31466408,2019.0,narrative or expert review,psychological,0.3412,9.686569,-1.6329964,15.226165,-8.902455,psychological
record,pubmed_36278735,pubmed_36278735,2022.0,systematic review,psychological,0.3441,8.123407,-0.51344913,13.611656,-3.201579,psychological
record,pubmed_31878346,pubmed_31878346,2019.0,systematic review,biological,0.3418,5.3758035,2.163869,13.781055,-1.5686362,biological
record,pubmed_39768944,pubmed_39768944,2024.0,systematic review,biological,0.3413,8.063792,-0.055719003,15.805686,-9.901117,biological
record,pubmed_24716562,pubmed_24716562,2014.0,narrative or expert review,biological,0.3481,-0.87623936,-5.8122354,7.6069636,-1.5267715,biological
record,pubmed_32010899,pubmed_32010899,2019.0,systematic review,psychological,0.3466,8.703368,1.2985119,11.795192,-7.02313,psychological
record,pubmed_12720511,pubmed_12720511,2003.0,narrative or expert review,psychological,0.3524,1.1648892,-0.63301986,5.5274115,11.044361,psychological
record,pubmed_28359011,pubmed_28359011,2017.0,narrative or expert review,psychological,0.3423,10.565251,-1.6475672,13.693611,-7.7165112,psychological
record,pubmed_2094850,pubmed_2094850,1990.0,narrative or expert review,biological,0.3421,4.999416,-3.5966039,8.791245,-1.914017,biological
record,pubmed_17149465,pubmed_17149465,2006.0,narrative or expert review,social,0.3381,10.541143,-2.2212179,13.304057,-14.360832,social
record,pubmed_10711057,pubmed_10711057,1999.0,narrative or expert review,psychological,0.3438,0.17409086,-2.3658292,6.14776,10.842405,psychological
record,pubmed_11858295,pubmed_11858295,2000.0,narrative or expert review,psychological,0.3441,0.1569398,-2.4749362,5.539962,9.021767,psychological
record,pubmed_8940956,pubmed_8940956,1996.0,narrative or expert review,psychological,0.3483,-2.006544,-4.005673,2.0350547,7.914712,psychological
record,pubmed_10635197,pubmed_10635197,1999.0,narrative or expert review,psychological,0.3483,-4.417891,3.0616055,11.488864,-2.2760155,psychological
record,pubmed_9927896,pubmed_9927896,1998.0,narrative or expert review,psychological,0.3553,-3.0736852,-0.97809005,-2.220159,7.2590976,psychological
record,pubmed_34793635,pubmed_34793635,2021.0,systematic review,psychological,0.3497,5.7654743,0.5655861,7.4945984,-1.2847126,psychological
record,pubmed_8842824,pubmed_8842824,1996.0,narrative or expert review,social,0.3385,6.824857,-3.8243887,7.615783,-11.997901,social
domain_anchor,Biological,,,,,,-8.503355,-2.6275675,-6.171629,10.7470665,biological
domain_anchor,Psychological,,,,,,-11.986586,-9.061876,-12.083547,7.622508,psychological
domain_anchor,Social,,,,,,-16.02168,-5.3141813,-11.70247,-12.964795,social
subdomain_anchor,Central Sensitization and Neuroplasticity,,,,,,-9.2561655,-3.3009517,-17.864138,9.773722,biological
subdomain_anchor,Musculoskeletal and Structural Pathology,,,,,,-10.3808,-3.8566864,-15.454403,0.84027314,biological
subdomain_anchor,Pharmacological and Biomedical Treatment,,,,,,-9.97828,-3.7104385,-15.234802,8.106645,biological
subdomain_anchor,Sleep Disruption and Circadian Dysregulation,,,,,,-9.833801,-4.4094434,-16.630613,3.2277715,biological
subdomain_anchor,Immune Inflammatory and Neuroinflammatory Processes,,,,,,-9.611817,-3.5535152,-17.425388,7.9565372,biological
subdomain_anchor,Genetic Epigenetic and Biological Vulnerability,,,,,,-8.952837,-4.127068,-17.510454,6.025751,biological
subdomain_anchor,Neuroimaging Brain Structure and Function,,,,,,-10.194804,-2.8498316,-16.990683,7.89151,biological
subdomain_anchor,Nociceptive Transmission and Pain Pathways,,,,,,-9.096602,-3.1225028,-15.970677,14.590065,biological
subdomain_anchor,Physical Function Mobility and Deconditioning,,,,,,-10.853736,-4.2369437,-19.143671,-3.9544606,biological
subdomain_anchor,Metabolic Nutritional and Hormonal Factors,,,,,,-9.350719,-4.125498,-15.766968,4.2282968,biological
subdomain_anchor,Catastrophizing and Negative Cognitive Appraisal,,,,,,-11.056435,-9.0645685,-22.81533,1.7941263,psychological
subdomain_anchor,Fear Avoidance and Pain Related Fear,,,,,,-10.15249,-8.866991,-23.153822,4.3207517,psychological
subdomain_anchor,Depression Emotional Distress and Affect,,,,,,-9.371303,-7.8512506,-25.379269,-0.2504597,psychological
subdomain_anchor,Anxiety and Psychological Reactivity,,,,,,-9.621525,-8.416531,-23.161726,1.2719506,psychological
subdomain_anchor,Self Efficacy Control Beliefs and Perceived Mastery,,,,,,-10.668356,-10.565254,-22.026426,-3.624428,psychological
subdomain_anchor,Acceptance Psychological Flexibility and Mindfulness,,,,,,-10.393605,-9.217068,-20.815796,-1.8306164,psychological
subdomain_anchor,Pain Coping Strategies and Adjustment,,,,,,-10.498042,-8.480106,-22.813623,1.2034812,psychological
subdomain_anchor,Attention Vigilance and Pain Processing,,,,,,-10.439296,-7.824802,-21.407076,5.9448214,psychological
subdomain_anchor,Illness Beliefs Pain Representations and Meaning,,,,,,-11.320971,-10.119511,-21.666382,2.4242833,psychological
subdomain_anchor,Cognitive Behavioral and Psychotherapeutic Approaches,,,,,,-11.184902,-8.291421,-21.803898,4.83354,psychological
subdomain_anchor,Third Wave Therapies ACT and Contextual Approaches,,,,,,-11.673492,-8.042877,-17.399258,1.6083118,psychological
subdomain_anchor,Resilience Positive Psychology and Post Traumatic Growth,,,,,,-8.756387,-9.488031,-21.179552,-3.6851876,psychological
subdomain_anchor,Identity Self Concept and Chronic Pain Biography,,,,,,-11.341478,-10.2834425,-23.226007,2.2170994,psychological
subdomain_anchor,Trauma Adverse Childhood and Life Events,,,,,,-8.561686,-8.505011,-22.336693,-1.1624997,psychological
subdomain_anchor,Personality Psychological Traits and Individual Differences,,,,,,-9.121486,-9.018685,-22.477066,2.4815223,psychological
subdomain_anchor,Cognitive Function Executive Processes and Brain Health,,,,,,-10.180129,-7.108866,-21.973484,0.7612303,psychological
subdomain_anchor,Motivational Processes Goal Pursuit and Engagement,,,,,,-10.067095,-9.95107,-21.248781,0.13802134,psychological
subdomain_anchor,Healthcare Seeking Treatment Adherence and Engagement,,,,,,-9.7086525,-10.145973,-19.411709,-3.4345639,psychological
subdomain_anchor,Emotional Regulation and Pain Affect Processing,,,,,,-10.06028,-8.130281,-22.967545,4.9711785,psychological
subdomain_anchor,Mental Health Comorbidity and Psychological Wellbeing,,,,,,-9.1601,-7.8271666,-21.803759,-3.189281,psychological
subdomain_anchor,Social Support Network and Interpersonal Resources,,,,,,-15.292585,-5.720296,-22.560188,-13.67862,social
subdomain_anchor,Work Disability Occupational Function and Productivity,,,,,,-14.806297,-6.7187037,-20.810997,-16.697248,social
subdomain_anchor,Family Caregiver and Household Dynamics,,,,,,-13.846996,-6.012358,-22.535923,-9.469772,social
subdomain_anchor,Socioeconomic Status and Health Inequity,,,,,,-15.008742,-4.835648,-19.120388,-15.183136,social
subdomain_anchor,Healthcare Access Navigation and System Factors,,,,,,-14.1753235,-4.8690557,-19.0473,-10.640375,social
subdomain_anchor,Cultural Ethnic and Demographic Context,,,,,,-14.163252,-5.547634,-21.640574,-7.346276,social
subdomain_anchor,Community Participation and Social Role Functioning,,,,,,-14.84458,-6.123357,-21.72692,-13.5828905,social
subdomain_anchor,Legal Compensation and Medicolegal Systems,,,,,,-13.566634,-4.9315553,-17.136383,-8.025022,social
subdomain_anchor,Health Literacy Education and Patient Empowerment,,,,,,-14.407586,-4.2214236,-17.533367,-11.20218,social
subdomain_anchor,Stigma Social Isolation and Exclusion,,,,,,-15.065518,-5.5174217,-21.694084,-12.8162155,social
subdomain_anchor,Return to Work Vocational Rehabilitation and Employment,,,,,,-14.903267,-7.041681,-18.94817,-18.627134,social
subdomain_anchor,Social Determinants of Pain and Environment,,,,,,-14.71892,-5.2705264,-20.401144,-8.431315,social
